Program Version:,EnergyPlus, Version 23.1.0-87ed9199d4, YMD=2023.05.24 12:43
Tabular Output Report in Format: ,Comma

Building:,US+SF+CZ6A+hp+slab+IECC_2021
Environment:,ANNUAL ** Rochester International Arpt MN USA TMY3 WMO#=726440

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [kBtu],Energy Per Total Building Area [kBtu/ft2],Energy Per Conditioned Building Area [kBtu/ft2]
,Total Site Energy,107437.80,45.20,90.39
,Net Site Energy,107437.80,45.20,90.39
,Total Source Energy,340255.51,143.14,286.28
,Net Source Energy,340255.51,143.14,286.28


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [ft2]
,Total Building Area,2377.10
,Net Conditioned Building Area,1188.55
,Unconditioned Building Area,1188.55


End Uses

,,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Heating,68381.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,3974.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,1771.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,721.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,23052.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,5007.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,4527.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,
,Total End Uses,107437.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23512.13
Note: Electricity appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [kBtu],Natural Gas [kBtu],Gasoline [kBtu],Diesel [kBtu],Coal [kBtu],Fuel Oil No 1 [kBtu],Fuel Oil No 2 [kBtu],Propane [kBtu],Other Fuel 1 [kBtu],Other Fuel 2 [kBtu],District Cooling [kBtu],District Heating [kBtu],Water [gal]
,Interior Equipment,73008.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,15859.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,14339.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,340255.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Source Energy End Use Components Per Conditioned Floor Area

,,Source Electricity [kBtu/ft2],Source Natural Gas [kBtu/ft2],Source Gasoline [kBtu/ft2],Source Diesel [kBtu/ft2],Source Coal [kBtu/ft2],Source Fuel Oil No 1 [kBtu/ft2],Source Fuel Oil No 2 [kBtu/ft2],Source Propane [kBtu/ft2],Source Other Fuel 1 [kBtu/ft2],Source Other Fuel 2 [kBtu/ft2],Source District Cooling [kBtu/ft2],Source District Heating [kBtu/ft2]
,Heating,182.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,10.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,4.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,61.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,13.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,12.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,286.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Source Energy End Use Components Per Total Floor Area

,,Source Electricity [kBtu/ft2],Source Natural Gas [kBtu/ft2],Source Gasoline [kBtu/ft2],Source Diesel [kBtu/ft2],Source Coal [kBtu/ft2],Source Fuel Oil No 1 [kBtu/ft2],Source Fuel Oil No 2 [kBtu/ft2],Source Propane [kBtu/ft2],Source Other Fuel 1 [kBtu/ft2],Source Other Fuel 2 [kBtu/ft2],Source District Cooling [kBtu/ft2],Source District Heating [kBtu/ft2]
,Heating,91.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,2.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,30.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,143.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
ZoneHVAC:EnergyRecoveryVentilator

,,User-Specified Supply Air Flow Rate [ft3/min],User-Specified Exhaust Air Flow Rate [ft3/min]
,ERV_UNIT1,59.99,59.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:OnOff

,,User-Specified Maximum Flow Rate [ft3/min],Design Size Maximum Flow Rate [ft3/min]
,OASUPPLYFAN_UNIT1,59.99,
,OAEXHAUSTFAN_UNIT1,59.99,
,SUPPLY FAN_UNIT1,,665.63
,HEAT PUMP WATER HEATER FAN_UNIT1,,160.01
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


HeatExchanger:AirToAir:SensibleAndLatent

,,User-Specified Nominal Supply Air Flow Rate [ft3/min]
,OA_HEAT_RECOVERY_UNIT1,59.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:ConstantVolume:NoReheat

,,Design Size Maximum Air Flow Rate [ft3/min]
,ZONEDIRECTAIR_UNIT1,665.63
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC

,,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],Sum of Air Terminal Maximum Flow Rates [ft3/min],Adjusted Heating Design Air Flow Rate [ft3/min],Adjusted Cooling Design Air Flow Rate [ft3/min],Adjusted Main Design Air Flow Rate [ft3/min],User Heating Air Flow Ratio [],Calculated Heating Air Flow Ratio [],Design Supply Air Flow Rate [ft3/min]
,CENTRAL SYSTEM_UNIT1,665.63,665.63,665.63,665.63,665.63,665.63,1.00,1.00,665.63
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:DX:SingleSpeed

,,Design Size Rated Air Flow Rate [ft3/min],Design Size Gross Rated Total Cooling Capacity [ton],Design Size Gross Rated Sensible Heat Ratio
,DX COOLING COIL_UNIT1,665.63,1.78,0.777117
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC:UnitaryHeatPump:AirToAir

,,Supply Air Flow Rate [ft3/min],Supply Air Flow Rate During Heating Operation [ft3/min],Supply Air Flow Rate During Cooling Operation [ft3/min],Nominal Heating Capacity [Btu/h],Nominal Cooling Capacity [ton],Supplemental Heating Coil Nominal Capacity [Btu/h],Fraction of Supply Air Flow That Goes Through the Controlling Zone
,HEAT PUMP_UNIT1,665.63,665.63,665.63,21381.98,1.78,33974.71,1.00
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Heating:DX:SingleSpeed

,,Design Size Rated Air Flow Rate [ft3/min],Design Size Gross Rated Heating Capacity [Btu/h]
,MAIN DX HEATING COIL_UNIT1,665.63,21381.98
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Heating:Electric

,,Design Size Nominal Capacity [Btu/h]
,SUPP HEATING COIL_UNIT1,33974.71
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


WaterHeater:HeatPump:WrappedCondenser

,,Evaporator air flow rate [ft3/min]
,WATER HEATER_UNIT1,160.01
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


PlantLoop

,,Maximum Loop Flow Rate [ft3/min],Plant Loop Volume [ft3]
,DHW LOOP_UNIT1,1.05,2.09
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Pump:VariableSpeed

,,Design Flow Rate [ft3/min]
,MAINS PRESSURE_UNIT1,1.05
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


WaterHeater:Stratified

,,Maximum Heater Capacity [Btu/h],Use Side Design Flow Rate [ft3/min]
,WATER HEATER_TANK_UNIT1,18766.00,1.05
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


----------------------------------------------------------------------------------------------------
REPORT:,Surface Shadowing Summary
FOR:,Entire Facility
Surfaces (Walls, Roofs, etc) that may be Shadowed by Other Surfaces

,,Possible Shadow Receivers
,OVERHANG_SDR_1.UNIT1,WALL_SDR_1.UNIT1 |
,Mir-OVERHANG_SDR_1.UNIT1,OVERHANG_SDR_2.UNIT1 | WALL_SDR_1.UNIT1 | WALL_SDR_2.UNIT1 | ROOF_RIGHT_UNIT1 |
,OVERHANG_SDR_2.UNIT1,WALL_SDR_2.UNIT1 |
,Mir-OVERHANG_SDR_2.UNIT1,WALL_SDR_2.UNIT1 | ROOF_RIGHT_UNIT1 |
,WALL_SDR_1.UNIT1,OVERHANG_SDR_1.UNIT1 | OVERHANG_SDR_2.UNIT1 |
,WALL_SDR_2.UNIT1,OVERHANG_SDR_2.UNIT1 |


Subsurfaces (Windows and Doors) that may be Shadowed by Surfaces

,,Possible Shadow Receivers
,WALL_LDF_1.UNIT1,WINDOW_LDF_1.UNIT1 |
,WALL_SDR_1.UNIT1,WINDOW_SDR_1.UNIT1 |
,WALL_LDB_1.UNIT1,DOOR_LDB_UNIT1 | WINDOW_LDB_1.UNIT1 |
,WALL_SDL_1.UNIT1,WINDOW_SDL_1.UNIT1 |
,WALL_LDF_2.UNIT1,WINDOW_LDF_2.UNIT1 |
,WALL_SDR_2.UNIT1,WINDOW_SDR_2.UNIT1 |
,WALL_LDB_2.UNIT1,WINDOW_LDB_2.UNIT1 |
,WALL_SDL_2.UNIT1,WINDOW_SDL_2.UNIT1 |


----------------------------------------------------------------------------------------------------
REPORT:,Adaptive Comfort Summary
FOR:,Entire Facility
Time Not Meeting the Adaptive Comfort Models during Occupied Hours

,,ASHRAE55 90% Acceptability Limits [Hours],ASHRAE55 80% Acceptability Limits  [Hours],CEN15251 Category I Acceptability Limits [Hours],CEN15251 Category II Acceptability Limits [Hours],CEN15251 Category III Acceptability Limits [Hours]


----------------------------------------------------------------------------------------------------
REPORT:,Initialization Summary
FOR:,Entire Facility
Version

,,Version ID
,1,23.1


Timesteps per Hour

,,#TimeSteps,Minutes per TimeStep {minutes}
,1,6,10


System Convergence Limits

,,Minimum System TimeStep {minutes},Max HVAC Iterations,Minimum Plant Iterations,Maximum Plant Iterations
,1,1,20,2,8


Simulation Control

,,Do Zone Sizing,Do System Sizing,Do Plant Sizing,Do Design Days,Do Weather Simulation,Do HVAC Sizing Simulation
,1,Yes,Yes,No,Yes,Yes,No


Performance Precision Tradeoffs

,,Use Coil Direct Simulation,Zone Radiant Exchange Algorithm,Override Mode,Number of Timestep In Hour,Force Euler Method,Minimum Number of Warmup Days,Force Suppress All Begin Environment Resets,Minimum System Timestep,MaxZoneTempDiff,MaxAllowedDelTemp
,1,No,ScriptF,Normal,6,No,1,No,1.0,0.300,2.0000E-003


Output Reporting Tolerances

,,Tolerance for Time Heating Setpoint Not Met,Tolerance for Zone Cooling Setpoint Not Met Time
,1,0.200,0.200


Site:GroundTemperature:BuildingSurface

,,Jan{F},Feb{F},Mar{F},Apr{F},May{F},Jun{F},Jul{F},Aug{F},Sep{F},Oct{F},Nov{F},Dec{F}
,1,64.40,64.40,64.40,64.40,64.40,64.40,64.40,64.40,64.40,64.40,64.40,64.40


Site:GroundTemperature:FCfactorMethod

,,Jan{F},Feb{F},Mar{F},Apr{F},May{F},Jun{F},Jul{F},Aug{F},Sep{F},Oct{F},Nov{F},Dec{F}
,1,28.06,18.73,16.21,18.41,30.99,45.09,58.35,67.95,70.75,66.24,55.38,41.68


Site:GroundTemperature:Shallow

,,Jan{F},Feb{F},Mar{F},Apr{F},May{F},Jun{F},Jul{F},Aug{F},Sep{F},Oct{F},Nov{F},Dec{F}
,1,55.40,55.40,55.40,55.40,55.40,55.40,55.40,55.40,55.40,55.40,55.40,55.40


Site:GroundTemperature:Deep

,,Jan{F},Feb{F},Mar{F},Apr{F},May{F},Jun{F},Jul{F},Aug{F},Sep{F},Oct{F},Nov{F},Dec{F}
,1,60.80,60.80,60.80,60.80,60.80,60.80,60.80,60.80,60.80,60.80,60.80,60.80


Site:GroundReflectance

,,Jan{dimensionless},Feb{dimensionless},Mar{dimensionless},Apr{dimensionless},May{dimensionless},Jun{dimensionless},Jul{dimensionless},Aug{dimensionless},Sep{dimensionless},Oct{dimensionless},Nov{dimensionless},Dec{dimensionless}
,1,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20


Site:GroundReflectance:SnowModifier

,,Normal,Daylighting {dimensionless}
,1,1.000,1.000


Site:GroundReflectance:Snow

,,Jan{dimensionless},Feb{dimensionless},Mar{dimensionless},Apr{dimensionless},May{dimensionless},Jun{dimensionless},Jul{dimensionless},Aug{dimensionless},Sep{dimensionless},Oct{dimensionless},Nov{dimensionless},Dec{dimensionless}
,1,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20


Site:GroundReflectance:Snow:Daylighting

,,Jan{dimensionless},Feb{dimensionless},Mar{dimensionless},Apr{dimensionless},May{dimensionless},Jun{dimensionless},Jul{dimensionless},Aug{dimensionless},Sep{dimensionless},Oct{dimensionless},Nov{dimensionless},Dec{dimensionless}
,1,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20


Environment:Weather Station

,,Wind Sensor Height Above Ground {ft},Wind Speed Profile Exponent {},Wind Speed Profile Boundary Layer Thickness {ft},Air Temperature Sensor Height Above Ground {ft},Wind Speed Modifier Coefficient-Internal,Temperature Modifier Coefficient-Internal
,1,32.810,0.140,885.870,4.921,1.586,9.750E-003


Site:Location

,,Location Name,Latitude {N+/S- Deg},Longitude {E+/W- Deg},Time Zone Number {GMT+/-},Elevation {ft},Standard Pressure at Elevation {psi},Standard RhoAir at Elevation
,1,Rochester International Arpt MN USA TMY3 WMO#=726440,43.90,-92.50,-6.00,1305.84,14.,1.1486


Site Water Mains Temperature Information

,,Calculation Method{},Water Mains Temperature Schedule Name{},Annual Average Outdoor Air Temperature{F},Maximum Difference In Monthly Average Outdoor Air Temperatures{deltaF},Fixed Default Water Mains Temperature{F}
,1,Correlation,NA,43.48,60.30,NA


Building Information

,,Building Name,North Axis {deg},Terrain,Loads Convergence Tolerance Value,Temperature Convergence Tolerance Value,Solar Distribution,Maximum Number of Warmup Days,Minimum Number of Warmup Days
,1,US+SF+CZ6A+hp+slab+IECC_2021,0.000,Suburbs,4.00000E-002,0.40000,FullExterior,25,6


Inside Convection Algorithm

,,Algorithm {Simple
,,TARP
,,CeilingDiffuser
,,AdaptiveConvectionAlgorithm}
,1,TARP


Outside Convection Algorithm

,,Algorithm {SimpleCombined
,,TARP
,,MoWitt
,,DOE-2
,,AdaptiveConvectionAlgorithm}
,1,DOE-2


Sky Radiance Distribution

,,Value {Anisotropic}
,1,Anisotropic


Zone Air Solution Algorithm

,,Algorithm {ThirdOrderBackwardDifference,Space Heat Balance Sizing,Space Heat Balance Simulation
,,AnalyticalSolution,,
,,EulerMethod},,
,1,ThirdOrderBackwardDifference,No,No


Zone Air Carbon Dioxide Balance Simulation

,,Simulation {Yes/No},Carbon Dioxide Concentration
,1,No,N/A


Zone Air Generic Contaminant Balance Simulation

,,Simulation {Yes/No},Generic Contaminant Concentration
,1,No,N/A


Zone Air Mass Flow Balance Simulation

,,Enforce Mass Balance,Adjust Zone Mixing and Return {AdjustMixingOnly,Adjust Zone Infiltration {AddInfiltration,Infiltration Zones {MixingSourceZonesOnly
,,,AdjustReturnOnly,AdjustInfiltration,AllZones}
,,,AdjustMixingThenReturn,None},
,,,AdjustReturnThenMixing,,
,,,None},,
,1,No,N/A,N/A,N/A


HVACSystemRootFindingAlgorithm

,,Value {RegulaFalsi
,,Bisection
,,BisectionThenRegulaFalsi
,,RegulaFalsiThenBisection}
,1,RegulaFalsi


Environment:Site Atmospheric Variation

,,Wind Speed Profile Exponent {},Wind Speed Profile Boundary Layer Thickness {ft},Air Temperature Gradient Coefficient {F/ft}
,1,0.220,1213.970,0.003566


Material Details

,,Material Name,ThermalResistance {m2-K/w},Roughness,Thickness {ft},Conductivity {w/m-K},Density {lb/ft3},Specific Heat {Btu/lbm-R},Absorptance:Thermal,Absorptance:Solar,Absorptance:Visible
,1,SHEATHING_CONSOL_LAYER,0.8807,Rough,0.1021,3.533E-002,1.255,0.350,0.9000,0.7000,0.7000
,2,CEIL_CONSOL_LAYER,7.2015,Rough,1.4584,6.172E-002,2.618,0.185,0.9000,0.7000,0.7000
,3,FLOOR_CONSOL_LAYER,1.9554E-005,Rough,0.0008,12.990,3.438,0.219,0.9000,0.7000,0.7000
,4,BSMTWALL_CONSOL_LAYER,2.3423E-005,Rough,0.0008,10.844,7.541,0.248,0.9000,0.7000,0.7000
,5,CRAWLWALL_CONSOL_LAYER,2.3423E-005,Rough,0.0008,10.844,7.541,0.248,0.9000,0.7000,0.7000
,6,WALL_CONSOL_LAYER,2.4438,Rough,0.4584,5.717E-002,7.541,0.248,0.9000,0.7000,0.7000
,7,VERY HIGH REFLECTIVITY SURFACE,2.1097E-006,Smooth,0.0016,237.000,168.680,0.216,0.9000,5.0000E-002,5.0000E-002
,8,GYPSUMBOARD-5/16IN,5.0054E-002,Rough,0.0260,0.159,39.954,0.270,0.9000,0.4000,0.1000
,9,COPPERPIPE,4.7506E-005,MediumRough,0.0625,401.000,140.026,0.200,0.9000,0.6500,0.6500
,10,F08 METAL SURFACE,1.7668E-005,Smooth,0.0026,45.280,488.437,0.119,0.9000,0.7000,0.7000
,11,CONCRETE_4IN,7.7356E-002,Rough,0.3330,1.312,140.014,0.111,0.9000,0.7000,0.7000
,12,ASPHALT_SHINGLE,7.7448E-002,MediumRough,0.0208,8.186E-002,70.000,0.300,0.9000,0.7500,0.7000
,13,WOOD_SHINGLE,0.1115,MediumSmooth,0.0417,0.114,26.600,0.390,0.9000,0.7000,0.7000
,14,SLATE_SHINGLE,8.8061E-003,MediumSmooth,0.0417,1.442,100.000,0.300,0.9000,0.7000,0.7000
,15,CEMENT_STUCCO,2.6422E-002,MediumSmooth,0.0625,0.721,116.464,0.210,0.9000,0.7000,0.7000
,16,SYN_STUCCO,3.5237E-002,MediumSmooth,0.0100,8.650E-002,24.971,0.210,0.9000,0.7000,0.7000
,17,DRYWALL_1/2IN,7.9331E-002,MediumSmooth,0.0417,0.160,50.000,0.260,0.9000,0.7000,0.7000
,18,OSB_5/8IN,0.1365,MediumSmooth,0.0521,0.116,34.000,0.290,0.9000,0.7000,0.7000
,19,OSB_7/16IN,9.5550E-002,MediumSmooth,0.0365,0.116,34.000,0.290,0.9000,0.7000,0.7000
,20,BLOWN_R30,5.1614,MediumRough,0.6975,4.119E-002,0.600,0.200,0.9000,0.7000,0.7000
,21,BLOWN_R30_TOP,2.8489,MediumRough,0.3849,4.119E-002,0.600,0.200,0.9000,0.7000,0.7000
,22,PLYWOOD_3/4IN,0.1650,Rough,0.0625,0.115,34.003,0.161,0.9000,0.7000,0.7000
,23,BATT_R19,7.3089,MediumRough,0.0833,3.475E-003,0.600,0.200,0.9000,0.7000,0.7000
,24,LUMBER_2X4,0.7709,Rough,0.2920,0.115,32.003,0.183,0.9000,0.7000,0.7000
,25,CARPET_N_PAD,0.4224,MediumSmooth,0.0833,6.013E-002,2.000,0.200,0.9000,0.7000,0.7000
,26,BATT_R13,2.2936,MediumRough,0.2917,3.876E-002,0.600,0.200,0.9000,0.7000,0.7000
,27,OSB_1/2IN,0.1092,MediumSmooth,0.0417,0.116,34.000,0.290,0.9000,0.7000,0.7000
,28,SOIL_12IN,0.1761,Rough,1.0000,1.731,115.011,0.056,0.9000,0.7000,0.7000
,29,DOOR_CONST,0.5870,Smooth,0.1387,7.201E-002,32.003,0.183,0.9000,0.7000,0.7000
,30,GYP_BOARD_1/2IN,8.0130E-002,Rough,0.0417,0.159,39.954,0.270,0.9000,0.4000,0.1000
,31,STD WOOD 6INCH,1.2500,MediumSmooth,0.4921,0.120,33.711,0.289,0.9000,0.7000,0.7000
,32,PIPE INSULATION,0.3830,VeryRough,0.0417,3.317E-002,5.681,0.200,0.9000,0.5000,0.5000
,33,MANF_WALL_AIRGAP,0.1200,Smooth,0.0000,0.000,0.000,0.000,0.9000,0.7000,0.7000
,34,BLDG_PAPER_FELT,1.0567E-002,Smooth,0.0000,0.000,0.000,0.000,0.9000,0.7000,0.7000
,35,R_HIGH,177.0000,MediumRough,0.0000,0.000,0.000,0.000,0.9000,0.7000,0.7000
,36,CLEAR ACRYLIC PLASTIC,3.3333E-003,VerySmooth,0.0098,0.900,0.000,0.000,0.9000,0.0000,0.0000
,37,DIFFUSING ACRYLIC PLASTIC,2.4444E-003,VerySmooth,0.0072,0.900,0.000,0.000,0.9000,0.0000,0.0000
,38,INT_BLIND,0.0000,Rough,0.0000,0.000,0.000,0.000,0.0000,0.0000,0.0000
,39,GLASS,0.4127,VerySmooth,0.1373,0.101,0.000,0.000,0.8400,0.0000,0.0000


Material:Air

,,Material Name,ThermalResistance {m2-K/w}
,1,AIR_4_IN_VERT,0.1585
,2,3/4IN_AIR_SPACE,8.5130E-002
,3,3/4IN_REFLECTIVE_AIR_SPACE,0.2466
,4,AIR_4_IN_VERT,0.1585


Surface Geometry

,,Starting Corner,Vertex Input Direction,Coordinate System,Daylight Reference Point Coordinate System,Rectangular (Simple) Surface Coordinate System
,1,LowerLeftCorner,Counterclockwise,RelativeCoordinateSystem,RelativeCoordinateSystem,RelativeToZoneOrigin


Surface Heat Transfer Algorithm

,,Value {CTF - ConductionTransferFunction,Inside Surface Max Temperature Limit{F},Surface Convection Coefficient Lower Limit {Btu/h-ft2-F},Surface Convection Coefficient Upper Limit {Btu/h-ft2-F}
,,EMPD - MoisturePenetrationDepthConductionTransferFunction,,,
,,CondFD - ConductionFiniteDifference,,,
,,HAMT - CombinedHeatAndMoistureFiniteElement} - Description,,,
,1,CTF - ConductionTransferFunction,392.,0.02,176.1


Shading Summary

,,Number of Fixed Detached Shades,Number of Building Detached Shades,Number of Attached Shades
,1,0,0,4


Zone Summary

,,Number of Zones,Number of Zone Surfaces,Number of SubSurfaces
,1,2,25,9


Zone Information

